imm,week,block,trt,n,live,plantid
2,4,2,2,10,6,15
0,5,2,2,10,7,15
2,6,2,2,11,3,15
0,7,2,2,8,0,15
4,8,2,2,10,5,15
4,9,2,2,10,1,15
3,10,2,2,10,0,15
0,12,2,2,10,1,15
1,1,1,3,9,0,16
0,2,1,3,10,0,16
0,3,1,3,3,0,16
0,4,1,3,8,0,16
0,5,1,3,7,0,16
0,6,1,3,6,0,16
0,7,1,3,8,0,16
3,8,1,3,10,0,16
2,9,1,3,8,0,16
4,10,1,3,11,0,16
3,11,1,3,7,0,16
0,12,1,3,7,1,16
1,1,1,3,10,5,17
0,2,1,3,10,1,17
0,4,1,3,9,0,17
6,5,1,3,10,0,17
0,6,1,3,8,0,17
0,7,1,3,10,0,17
0,8,1,3,6,0,17
2,9,1,3,10,0,17
3,10,1,3,10,0,17
0,11,1,3,10,0,17
0,12,1,3,11,1,17
0,1,1,3,10,0,18
0,2,1,3,9,1,18
0,3,1,3,5,3,18
0,4,1,3,8,0,18
0,5,1,3,9,0,18
0,6,1,3,9,0,18
0,7,1,3,8,0,18
0,8,1,3,9,0,18
0,9,1,3,10,0,18
0,12,1,3,11,0,18
1,1,3,1,12,0,19
0,2,3,1,11,8,19
0,3,3,1,10,0,19
0,4,3,1,10,5,19
0,5,3,1,10,0,19
0,6,3,1,8,0,19
0,7,3,1,10,0,19
2,8,3,1,10,3,19
10,9,3,1,10,0,19
12,10,3,1,10,1,19
0,11,3,1,10,2,19
11,12,3,1,10,0,19
0,1,3,1,10,1,20
4,2,3,1,10,1,20
0,3,3,1,11,1,20
0,4,3,1,8,0,20
0,5,3,1,7,0,20
0,6,3,1,11,0,20
3,7,3,1,9,3,20
3,8,3,1,8,2,20
7,9,3,1,9,0,20
6,10,3,1,10,1,20
0,12,3,1,10,3,20
0,1,3,1,11,0,21
0,2,3,1,7,3,21
0,3,3,1,9,3,21
0,4,3,1,10,6,21
0,5,3,1,8,0,21
2,6,3,1,11,0,21
0,7,3,1,10,1,21
3,8,3,1,10,2,21
4,9,3,1,10,0,21
11,10,3,1,10,2,21
5,11,3,1,8,0,21
4,12,3,1,9,0,21
33,1,2,5,10,10,22
35,2,2,5,10,10,22
30,3,2,5,12,12,22
22,4,2,5,8,2,22
13,5,2,5,10,10,22
20,6,2,5,10,8,22
39,7,2,5,10,10,22
36,8,2,5,10,10,22
16,9,2,5,10,7,22
4,10,2,5,10,10,22
7,11,2,5,9,9,22
37,12,2,5,10,10,22
22,1,2,5,10,8,23
30,2,2,5,10,7,23
12,3,2,5,8,4,23
34,4,2,5,10,10,23
26,5,2,5,10,10,23
32,6,2,5,10,10,23
13,7,2,5,12,10,23
51,8,2,5,10,8,23
33,9,2,5,10,6,23
20,10,2,5,10,10,23
14,11,2,5,8,8,23
13,12,2,5,10,10,23
21,1,2,5,9,9,24
52,2,2,5,12,11,24
39,3,2,5,11,7,24
12,4,2,5,11,8,24
14,5,2,5,10,6,24
17,6,2,5,7,7,24
22,7,2,5,10,2,24
59,8,2,5,10,10,24
36,9,2,5,10,10,24
39,10,2,5,11,11,24
43,11,2,5,8,8,24
21,12,2,5,11,11,24
0,1,1,2,9,0,25
0,2,1,2,11,0,25
0,3,1,2,7,2,25
0,4,1,2,10,0,25
0,5,1,2,10,0,25
1,6,1,2,12,0,25
2,7,1,2,8,0,25
0,8,1,2,10,0,25
0,9,1,2,10,2,25
0,10,1,2,10,0,25
1,11,1,2,10,0,25
0,12,1,2,11,0,25
2,1,1,2,8,0,26
0,2,1,2,6,2,26
0,3,1,2,10,2,26
0,4,1,2,10,0,26
0,5,1,2,10,1,26
0,6,1,2,10,0,26
0,7,1,2,10,2,26
4,8,1,2,10,0,26
1,9,1,2,9,0,26
10,10,1,2,9,0,26
3,11,1,2,7,0,26
2,12,1,2,12,0,26
4,1,1,2,11,8,27
0,3,1,2,12,0,27
3,4,1,2,10,2,27
2,5,1,2,10,0,27
6,6,1,2,8,0,27
3,7,1,2,9,3,27
4,8,1,2,10,0,27
4,9,1,2,11,0,27
14,10,1,2,10,3,27
9,11,1,2,11,1,27
0,12,1,2,6,0,27
0,1,3,2,9,0,28
0,2,3,2,7,3,28
0,3,3,2,10,0,28
0,4,3,2,8,0,28
0,5,3,2,11,2,28
0,6,3,2,10,0,28
0,7,3,2,11,0,28
12,8,3,2,10,0,28
1,9,3,2,10,1,28
4,10,3,2,8,0,28
8,11,3,2,13,0,28
0,12,3,2,10,0,28
0,1,3,2,6,0,29
0,2,3,2,10,0,29
0,3,3,2,7,1,29
0,4,3,2,10,0,29
0,5,3,2,10,0,29
0,6,3,2,10,0,29
0,7,3,2,10,0,29
0,8,3,2,10,0,29
4,9,3,2,5,0,29
2,10,3,2,7,0,29
0,11,3,2,8,0,29
0,12,3,2,12,7,29
0,1,3,2,10,0,30
0,2,3,2,11,1,30
0,3,3,2,9,1,30
0,4,3,2,10,0,30
0,5,3,2,8,0,30
0,6,3,2,10,0,30
0,7,3,2,8,0,30
13,8,3,2,10,0,30
4,9,3,2,10,0,30
0,10,3,2,6,0,30
6,11,3,2,10,0,30
0,12,3,2,10,0,30
0,1,2,4,8,0,31
0,2,2,4,9,0,31
0,3,2,4,10,0,31
0,4,2,4,10,0,31
0,5,2,4,10,4,31
0,6,2,4,7,0,31
0,7,2,4,10,0,31
2,8,2,4,10,0,31
7,9,2,4,11,0,31
2,10,2,4,9,0,31
4,11,2,4,11,0,31
1,12,2,4,9,7,31
0,1,2,4,13,0,32
0,2,2,4,11,3,32
0,3,2,4,10,0,32
0,4,2,4,10,0,32
0,5,2,4,8,0,32
3,6,2,4,13,0,32
0,7,2,4,10,0,32
3,8,2,4,10,2,32
3,9,2,4,10,0,32
6,10,2,4,10,0,32
2,11,2,4,5,0,32
0,12,2,4,10,6,32
0,1,2,4,10,0,33
0,2,2,4,10,3,33
0,3,2,4,10,2,33
0,4,2,4,10,0,33
0,5,2,4,11,0,33
0,6,2,4,10,0,33
0,7,2,4,10,0,33
2,8,2,4,10,0,33
0,9,2,4,4,0,33
3,10,2,4,11,0,33
4,11,2,4,10,1,33
0,12,2,4,10,0,33
0,1,1,1,11,0,34
0,2,1,1,9,3,34
0,3,1,1,10,3,34
2,4,1,1,10,0,34
0,5,1,1,10,0,34
0,6,1,1,10,0,34
4,7,1,1,11,1,34
2,8,1,1,10,0,34
7,9,1,1,10,0,34
0,10,1,1,6,0,34
10,11,1,1,6,0,34
4,12,1,1,10,2,34
0,1,1,1,10,1,35
0,2,1,1,10,0,35
0,3,1,1,8,0,35
0,4,1,1,8,6,35
0,5,1,1,5,0,35
1,6,1,1,9,0,35
0,7,1,1,10,0,35
2,8,1,1,10,0,35
2,9,1,1,11,1,35
1,10,1,1,9,0,35
3,11,1,1,10,0,35
8,12,1,1,10,1,35
2,1,1,1,11,2,36
0,2,1,1,11,7,36
0,3,1,1,7,0,36
0,4,1,1,7,2,36
0,5,1,1,10,2,36
0,6,1,1,9,1,36
0,7,1,1,11,0,36
0,8,1,1,9,0,36
9,9,1,1,10,0,36
3,10,1,1,11,0,36
9,11,1,1,12,1,36
2,12,1,1,10,1,36
0,1,3,3,11,1,37
0,2,3,3,10,6,37
0,3,3,3,9,3,37
0,4,3,3,9,0,37
0,5,3,3,9,0,37
0,6,3,3,9,0,37
0,7,3,3,9,0,37
16,8,3,3,10,3,37
4,9,3,3,10,0,37
2,10,3,3,10,0,37
1,11,3,3,10,0,37
0,12,3,3,6,0,37
0,1,3,3,8,2,38
0,2,3,3,10,0,38
0,3,3,3,10,0,38
0,4,3,3,8,0,38
3,5,3,3,10,0,38
0,6,3,3,13,0,38
0,7,3,3,9,1,38
1,8,3,3,10,0,38
3,9,3,3,10,0,38
0,10,3,3,13,0,38
6,11,3,3,11,0,38
0,12,3,3,10,7,38
0,1,3,3,11,0,39
0,2,3,3,10,0,39
0,3,3,3,10,0,39
0,4,3,3,10,0,39
0,5,3,3,8,0,39
0,6,3,3,6,0,39
0,7,3,3,9,0,39
1,8,3,3,11,0,39
6,9,3,3,10,0,39
3,10,3,3,10,0,39
1,11,3,3,11,0,39
0,12,3,3,5,1,39
0,1,2,1,15,1,40
0,2,2,1,6,0,40
0,3,2,1,8,6,40
0,4,2,1,10,1,40
0,5,2,1,10,0,40
0,6,2,1,8,0,40
0,7,2,1,10,0,40
3,8,2,1,8,0,40
6,9,2,1,10,0,40
1,10,2,1,8,0,40
2,11,2,1,9,0,40
4,12,2,1,10,6,40
1,1,2,1,11,0,41
0,2,2,1,10,0,41
0,3,2,1,10,0,41
0,4,2,1,7,0,41
0,5,2,1,10,0,41
2,6,2,1,9,0,41
0,7,2,1,10,0,41
6,8,2,1,10,2,41
7,9,2,1,9,0,41
2,10,2,1,9,0,41
1,11,2,1,10,4,41
2,12,2,1,10,2,41
0,1,2,1,13,2,42
0,2,2,1,7,1,42
0,3,2,1,10,0,42
0,4,2,1,10,0,42
2,5,2,1,10,0,42
0,6,2,1,9,0,42
0,7,2,1,7,0,42
6,8,2,1,10,0,42
2,9,2,1,8,0,42
3,10,2,1,10,0,42
18,11,2,1,10,0,42
4,12,2,1,10,0,42
9,1,1,5,12,1,43
31,2,1,5,8,8,43
0,3,1,5,10,2,43
13,4,1,5,8,8,43
8,5,1,5,10,2,43
14,6,1,5,7,0,43
32,7,1,5,11,11,43
22,8,1,5,6,0,43
13,9,1,5,10,0,43
9,10,1,5,10,10,43
13,11,1,5,9,0,43
15,12,1,5,10,10,43
20,1,1,5,8,7,44
28,2,1,5,10,8,44
12,3,1,5,6,6,44
25,4,1,5,10,10,44
13,5,1,5,10,10,44
28,6,1,5,10,4,44
31,7,1,5,10,10,44
32,8,1,5,10,10,44
21,9,1,5,10,9,44
14,10,1,5,11,11,44
6,11,1,5,6,6,44
75,12,1,5,9,9,44
39,1,1,5,10,10,45
31,2,1,5,13,13,45
36,3,1,5,10,10,45
28,4,1,5,10,10,45
21,5,1,5,10,10,45
33,6,1,5,10,10,45
27,7,1,5,12,12,45
43,8,1,5,10,10,45
27,9,1,5,10,9,45
23,10,1,5,12,12,45
27,11,1,5,1,0,45
53,12,1,5,10,10,45
0,1,3,6,12,1,46
0,2,3,6,9,6,46
0,3,3,6,2,2,46
0,4,3,6,9,0,46
0,5,3,6,10,0,46
0,6,3,6,9,2,46
6,7,3,6,9,0,46
13,8,3,6,10,0,46
17,9,3,6,10,0,46
0,10,3,6,10,3,46
10,11,3,6,9,3,46
17,12,3,6,10,6,46
0,1,3,6,8,0,47
0,2,3,6,10,3,47
0,3,3,6,9,0,47
0,4,3,6,7,0,47
8,5,3,6,10,6,47
9,6,3,6,8,0,47
12,7,3,6,8,2,47
9,8,3,6,8,0,47
13,9,3,6,10,6,47
0,10,3,6,11,2,47
15,11,3,6,10,7,47
28,12,3,6,11,9,47
0,1,3,6,13,0,48
0,2,3,6,7,1,48
0,3,3,6,10,5,48
0,4,3,6,10,3,48
2,5,3,6,10,0,48
0,6,3,6,10,3,48
0,7,3,6,10,0,48
2,8,3,6,7,0,48
8,9,3,6,10,1,48
12,10,3,6,10,0,48
12,11,3,6,8,2,48
14,12,3,6,11,3,48
0,1,2,6,12,0,49
0,2,2,6,10,0,49
0,3,2,6,9,7,49
13,4,2,6,10,0,49
0,5,2,6,10,0,49
0,6,2,6,10,5,49
0,7,2,6,9,5,49
23,8,2,6,10,3,49
19,9,2,6,10,0,49
12,10,2,6,11,0,49
6,11,2,6,8,0,49
16,12,2,6,8,0,49
0,1,2,6,13,0,50
0,2,2,6,10,7,50
4,3,2,6,10,0,50
6,4,2,6,8,4,50
0,5,2,6,10,0,50
12,6,2,6,7,0,50
7,7,2,6,8,0,50
17,8,2,6,9,0,50
6,9,2,6,9,2,50
14,10,2,6,10,5,50
17,11,2,6,9,1,50
29,12,2,6,10,7,50
0,1,2,6,11,0,51
0,2,2,6,10,0,51
0,3,2,6,10,0,51
6,4,2,6,8,0,51
2,5,2,6,10,0,51
2,6,2,6,11,11,51
42,7,2,6,11,6,51
9,8,2,6,8,0,51
7,9,2,6,10,0,51
4,10,2,6,10,0,51
9,11,2,6,6,0,51
11,12,2,6,3,0,51
0,1,1,6,12,1,52
0,2,1,6,6,0,52
0,3,1,6,7,2,52
0,4,1,6,2,0,52
0,5,1,6,12,2,52
10,6,1,6,10,0,52
17,7,1,6,10,2,52
25,8,1,6,10,4,52
13,9,1,6,10,4,52
12,10,1,6,13,0,52
1,11,1,6,10,0,52
14,12,1,6,4,4,52
0,1,1,6,15,0,53
0,2,1,6,10,4,53
0,3,1,6,7,0,53
0,4,1,6,11,0,53
6,5,1,6,11,0,53
0,6,1,6,9,2,53
0,7,1,6,8,0,53
6,8,1,6,10,0,53
7,9,1,6,10,3,53
5,10,1,6,10,0,53
1,11,1,6,10,4,53
3,12,1,6,11,6,53
0,1,1,6,9,0,54
0,2,1,6,8,0,54
0,3,1,6,10,2,54
4,4,1,6,10,4,54
2,5,1,6,15,0,54
7,6,1,6,9,4,54
2,7,1,6,7,2,54
5,8,1,6,10,2,54
12,9,1,6,9,0,54
4,10,1,6,12,0,54
12,11,1,6,6,0,54
10,12,1,6,9,2,54
