rep.1,rep.2,rep.3,c.2,c.3,elev,forest,dur.1,dur.2,dur.3,length,alt
0,0,NA,0,NA,2010,0,250,83,NA,4.7,High
0,0,0,0,0,790,5,220,36,69,6.3,Med
1,1,1,1,2,1730,58,120,72,81,3.6,High
0,0,0,0,0,1120,98,170,43,62,3.3,Med
0,0,0,0,0,620,33,180,45,74,4,Low
0,0,0,0,0,590,53,185,42,62,8.6,Low
1,1,1,2,1,1840,17,315,63,76,6.9,High
0,0,0,0,0,930,16,225,39,62,5.9,Med
1,1,1,2,1,540,60,270,50,90,4.3,Low
0,0,0,0,0,420,2,250,52,84,6.1,Low
1,1,1,4,4,1400,52,240,48,76,5.7,Med
0,0,0,0,0,890,58,185,45,61,6.9,Med
1,1,1,9,3,1460,50,180,46,75,5.9,Med
0,0,NA,0,NA,1850,12,210,65,NA,4.5,High
0,0,0,0,0,1420,29,180,42,62,3.7,Med
0,0,0,0,0,600,16,140,37,46,4.9,Low
0,0,0,0,0,550,83,170,50,61,3.2,Low
0,0,0,0,0,750,79,235,35,59,4,Low
1,1,1,4,3,1790,51,250,69,77,5.7,High
0,0,0,0,0,680,8,125,43,59,6.1,Low
0,0,1,0,1,990,45,240,39,55,4.2,Med
0,0,0,0,0,520,5,180,36,60,6.3,Low
0,0,0,0,0,760,64,195,40,47,4.8,Med
0,0,0,0,0,370,14,250,55,77,9.4,Low
0,0,NA,0,NA,2710,0,120,99,NA,1.9,High
0,0,0,0,0,650,0,240,45,56,5.1,Low
0,0,0,0,0,660,30,240,50,63,5.3,Low
1,1,0,1,0,730,17,240,40,68,6.9,Low
0,0,0,0,0,460,65,165,45,51,4.6,Low
0,0,0,0,0,360,30,255,37,62,6.5,Low
0,0,0,0,0,250,0,230,50,63,4.2,Low
0,0,NA,0,NA,1940,5,300,91,NA,5.1,High
0,0,NA,0,NA,2420,0,165,96,NA,4.1,High
0,0,1,0,1,1320,66,195,40,65,5.8,Med
0,0,0,0,0,790,8,240,47,72,5.4,Med
0,0,0,0,0,470,75,285,46,62,8.4,Low
0,0,0,0,0,410,68,240,50,75,7.1,Low
1,1,1,1,6,1940,72,135,78,94,4,High
1,1,1,9,9,1570,95,310,41,56,5.3,High
1,1,1,5,5,1880,57,240,76,90,5.7,High
0,0,0,0,0,1290,64,210,60,74,4,Med
1,1,1,1,1,1340,44,320,43,52,4.5,Med
1,0,0,0,0,880,44,195,37,47,4.8,Med
0,0,0,0,0,710,34,255,36,58,7.1,Low
0,0,0,0,0,630,21,300,43,61,5.4,Low
0,0,0,0,0,450,23,150,42,60,4.8,Low
0,NA,NA,NA,NA,2360,1,330,76,NA,8.9,High
1,1,1,7,7,1650,43,300,42,62,5,High
1,1,1,7,3,2050,30,270,72,77,4.1,High
0,0,0,0,0,790,26,210,40,62,4.8,Med
0,NA,NA,NA,NA,730,7,120,41,69,5.6,Low
0,0,0,0,0,490,87,195,34,54,6.3,Low
0,0,0,0,0,840,49,270,46,73,4.8,Med
0,0,0,0,0,450,39,270,46,69,7.6,Low
1,1,1,1,4,1010,93,240,37,50,5.4,Med
0,0,0,0,0,1450,48,230,70,77,4.7,Med
0,0,0,0,0,850,11,115,30,59,3.3,Med
1,0,1,0,2,1240,73,345,42,56,6.2,Med
0,0,0,0,0,570,12,135,41,69,5.9,Low
1,1,1,4,3,1500,42,265,69,78,5.6,Med
0,0,0,0,0,1420,26,195,47,64,4.9,Med
0,0,0,0,0,780,13,130,37,61,3.2,Med
0,0,0,0,0,470,2,185,41,52,4.5,Low
0,0,NA,0,NA,2080,15,185,99,NA,4.4,High
1,1,1,12,13,2020,54,290,73,98,5.8,High
1,1,1,8,3,1750,74,300,59,76,5.5,High
1,1,1,2,1,1630,45,245,60,75,4.3,High
0,0,0,0,0,640,61,260,42,63,5.9,Low
0,0,0,0,0,530,33,220,31,61,5.5,Low
0,0,0,0,0,660,54,145,46,62,3.5,Low
1,1,1,1,1,1360,69,225,61,77,3.5,Med
0,0,0,0,0,1290,47,210,38,76,7,Med
0,0,0,0,0,670,5,180,40,55,6.5,Low
0,0,0,0,0,480,36,285,50,69,7.7,Low
1,1,1,3,2,2000,60,300,76,81,4.8,High
0,1,1,1,1,800,72,125,51,61,3.3,Med
0,0,0,0,0,1010,29,190,46,74,4.6,Med
0,0,0,0,0,680,7,215,46,62,5.6,Low
0,0,0,0,0,490,7,230,41,63,4.3,Low
0,0,0,0,0,400,13,150,40,63,4.3,Low
0,0,0,0,0,320,2,195,39,62,8.3,Low
1,1,1,4,1,1400,16,255,91,92,5.4,Med
0,0,0,0,0,590,62,190,42,62,4,Low
0,0,0,0,0,430,9,215,50,63,7.1,Low
0,0,0,0,0,410,37,210,48,63,7.4,Low
0,0,0,0,0,510,71,220,46,56,5.7,Low
1,1,1,8,9,1930,41,390,97,103,4.8,High
1,0,NA,0,NA,1560,19,300,96,NA,3,High
0,0,0,0,0,700,24,270,37,66,6.7,Low
0,0,0,0,0,440,10,215,46,50,6.5,Low
0,0,0,0,0,480,0,145,58,65,6.1,Low
0,0,0,0,0,490,70,225,42,66,6.2,Low
1,1,1,3,8,1850,45,180,76,83,5.9,High
0,0,0,0,0,490,18,150,35,73,4.2,Low
0,0,0,0,0,480,20,180,39,61,6.5,Low
0,0,0,0,0,440,3,150,41,69,5,Low
0,0,0,0,0,820,20,300,45,72,6.1,Med
0,0,0,0,0,670,36,290,37,61,4.3,Low
0,0,0,0,0,610,19,152,46,64,5.4,Low
1,0,0,0,0,1700,35,205,75,77,3.6,High
0,0,0,0,0,900,87,200,51,65,7,Med
1,1,1,1,1,1250,51,210,47,61,5.8,Med
0,0,0,0,0,910,21,240,52,75,4.2,Med
0,0,0,0,0,540,11,240,51,82,6.1,Low
0,0,0,0,0,450,29,135,45,66,4.7,Low
0,0,0,0,0,470,55,225,40,64,4.9,Low
0,1,NA,1,NA,1880,32,240,84,NA,6.9,High
1,0,1,0,1,1400,32,210,47,69,4.5,Med
0,0,0,0,0,470,3,135,46,62,5.2,Low
0,0,NA,0,NA,830,58,205,55,72,5,Med
0,1,1,1,2,1950,36,285,84,98,4.4,High
0,0,0,0,0,1660,86,230,72,84,5,High
0,1,1,1,1,1210,75,245,46,74,4.6,Med
1,0,0,0,0,380,23,230,45,62,5.8,Low
0,0,NA,0,NA,1840,0,260,88,NA,3.8,High
0,0,0,0,0,950,71,225,50,84,6.9,Med
0,0,0,0,0,880,69,180,39,63,6.7,Med
0,0,0,0,0,480,6,180,47,63,4.6,Low
0,0,0,0,0,550,67,300,38,50,4.9,Low
0,0,0,0,0,550,67,300,38,50,4.9,Low
0,0,0,0,0,340,42,300,42,76,5,Low
0,0,0,0,0,550,72,255,42,70,5.5,Low
0,0,0,0,0,1320,79,205,71,78,3.7,Med
0,0,0,0,0,260,47,160,29,52,7.3,Low
1,0,0,0,0,2010,26,300,87,107,4.1,High
0,0,0,0,0,1130,56,210,48,62,4.9,Med
1,0,NA,0,NA,1910,18,255,76,NA,4.4,High
1,1,1,2,2,1630,33,290,76,101,2.9,High
0,0,0,0,0,1540,21,150,62,78,3.3,High
1,1,1,4,3,1340,39,335,50,62,4,Med
0,0,0,0,0,1180,69,270,45,59,5.5,Med
0,0,0,0,0,830,42,300,56,72,6,Med
0,0,0,0,0,540,98,240,50,62,5.8,Low
1,1,1,3,1,1410,52,185,46,60,3.5,Med
0,1,0,1,0,1320,90,170,45,50,4.4,Med
1,0,1,0,1,890,50,225,47,74,4.1,Med
0,0,0,0,0,580,54,225,30,45,4.9,Low
0,0,0,0,0,500,9,210,39,42,5.1,Low
1,1,1,1,1,1220,51,280,55,80,5,Med
1,0,0,0,0,710,35,315,50,60,5.2,Low
0,0,0,0,0,1820,57,360,84,90,3.8,High
0,0,0,0,0,520,18,230,39,46,5.8,Low
1,1,NA,1,NA,1890,12,305,96,NA,4.6,High
0,0,0,0,0,1650,34,165,63,83,3.4,High
0,0,0,0,0,1390,68,285,50,60,4.1,Med
0,0,0,0,0,1390,63,225,73,90,4.7,Med
1,0,0,0,0,1290,48,290,45,55,4.5,Med
0,1,1,1,2,1810,33,270,61,101,3.5,High
1,1,0,1,0,1130,90,275,39,55,5,Med
0,0,0,0,0,480,33,270,31,48,6,Low
0,0,0,0,0,1040,37,240,48,63,4,Med
0,0,0,0,0,410,8,135,50,81,3.4,Low
1,1,1,13,9,2030,36,255,77,95,4.7,High
1,1,1,6,8,1880,66,270,66,78,4.6,High
0,0,0,0,0,950,56,275,39,47,4.1,Med
0,0,0,0,0,450,0,260,37,65,5.9,Low
0,0,0,0,0,950,41,255,46,62,5,Med
0,0,0,0,0,1070,63,315,54,78,9.1,Med
0,0,NA,0,NA,1980,0,235,86,NA,5.5,High
0,1,0,2,0,1350,35,195,55,76,4.7,Med
0,0,0,0,0,540,14,240,51,63,7.5,Low
0,0,0,0,0,420,1,240,41,61,7.2,Low
1,1,0,4,0,1420,27,280,52,72,3.9,Med
0,0,NA,0,NA,2240,0,240,77,NA,6.6,High
1,0,NA,0,NA,1980,6,360,80,NA,4.1,High
0,1,NA,1,NA,2330,0,270,76,NA,3.8,High
0,0,NA,0,NA,2050,1,180,69,NA,3.9,High
1,1,1,2,4,1180,58,285,41,59,4.2,Med
1,0,NA,0,NA,2010,9,330,90,NA,4.4,High
1,1,NA,1,NA,2220,14,195,85,NA,4.6,High
1,1,NA,2,NA,2310,2,350,94,NA,4.3,High
1,1,1,8,10,2190,30,360,74,88,6.8,High
1,1,1,4,4,1770,93,205,62,72,8.5,High
1,1,1,6,5,1830,82,320,72,74,6.5,High
1,1,1,12,9,1870,81,290,61,73,6.2,High
1,1,1,7,8,1840,82,300,68,82,4.6,High
0,0,NA,0,NA,2420,0,296,88,NA,5.3,High
1,1,1,2,8,1820,69,326,66,76,4.7,High
1,1,1,13,12,1850,53,300,74,95,5.9,High
0,0,NA,0,NA,2250,0,300,99,NA,3.6,High
0,0,NA,0,NA,2250,0,180,94,NA,4.1,High
0,0,NA,0,NA,2450,0,330,84,NA,4.3,High
0,0,NA,0,NA,2350,0,360,83,NA,9.3,High
0,0,NA,0,NA,2650,0,100,102,NA,2,High
0,0,NA,0,NA,2750,0,365,89,NA,5.2,High
0,0,NA,0,NA,2450,0,305,97,NA,5.9,High
0,0,NA,0,NA,1950,0,165,74,NA,5.2,High
0,0,NA,0,NA,2150,0,240,84,NA,4.9,High
0,0,NA,0,NA,1850,1,210,78,NA,3.5,High
0,0,NA,0,NA,2050,0,150,99,NA,5.7,High
0,0,NA,0,NA,1850,0,195,79,NA,1.4,High
0,0,NA,0,NA,2050,15,165,91,NA,3.4,High
0,0,NA,0,NA,2150,0,170,91,NA,1.2,High
0,0,NA,0,NA,2050,0,180,84,NA,4.4,High
0,0,NA,0,NA,1950,2,195,76,NA,5.3,High
0,0,NA,0,NA,1950,0,270,98,NA,5.2,High
0,0,NA,0,NA,2250,0,190,91,NA,4.2,High
0,0,NA,0,NA,2250,0,300,93,NA,2.7,High
0,0,NA,0,NA,2350,0,190,100,NA,2.9,High
